,traffic-nj511-minutes-i-295_from_exit_2_to_delaware
346,8.0
347,8.0
348,8.0
349,8.0
350,8.0
351,8.0
352,8.0
353,8.0
354,8.0
355,8.0
356,8.0
357,8.0
358,8.0
359,8.0
360,8.0
361,8.0
362,8.0
363,8.0
364,8.0
365,8.0
366,8.0
367,8.0
368,8.0
369,8.0
370,8.0
371,8.0
372,8.0
373,8.0
374,8.0
375,8.0
376,8.0
377,8.0
378,8.0
379,8.0
380,8.0
381,8.0
382,8.0
383,8.0
384,8.0
385,8.0
386,8.0
387,8.0
388,8.0
389,8.0
390,8.0
391,8.0
392,8.0
393,8.0
394,8.0
395,8.0
396,8.0
397,9.0
398,8.0
399,8.0
400,8.0
401,8.0
402,8.0
403,8.0
404,8.0
405,8.0
406,8.0
407,8.0
408,9.0
409,10.0
410,10.0
411,10.0
412,10.0
413,12.0
414,12.0
415,11.0
416,10.0
417,12.0
418,13.0
419,13.0
420,12.0
421,14.0
422,13.0
423,14.0
424,16.0
425,15.0
426,15.0
427,17.0
428,18.0
429,17.0
430,17.0
431,18.0
432,17.0
433,17.0
434,17.0
435,18.0
436,19.0
437,19.0
438,18.0
439,21.0
440,18.0
441,18.0
442,18.0
443,21.0
444,20.0
445,18.0
446,19.0
447,19.0
448,19.0
449,18.0
450,18.0
451,18.0
452,18.0
453,17.0
454,17.0
455,17.0
456,16.0
457,17.0
458,15.0
459,15.0
460,14.0
461,16.0
462,14.0
463,16.0
464,15.0
465,15.0
466,16.0
467,16.0
468,16.0
469,16.0
470,17.0
471,17.0
472,16.0
473,16.0
474,13.0
475,12.0
476,11.0
477,11.0
478,10.0
479,9.0
480,9.0
481,9.0
482,9.0
483,9.0
484,9.0
485,9.0
486,9.0
487,10.0
488,9.0
489,9.0
490,9.0
491,9.0
492,9.0
493,8.0
494,8.0
495,9.0
496,8.0
497,9.0
498,10.0
499,9.0
500,9.0
501,9.0
502,10.0
503,10.0
504,11.0
505,11.0
506,11.0
507,10.0
508,10.0
509,9.0
510,10.0
511,8.0
512,8.0
513,8.0
514,8.0
515,8.0
516,8.0
517,8.0
518,8.0
519,8.0
520,8.0
521,8.0
522,8.0
523,8.0
524,8.0
525,8.0
526,8.0
527,8.0
528,8.0
529,8.0
530,8.0
531,8.0
532,8.0
533,8.0
534,8.0
535,8.0
536,8.0
537,8.0
538,8.0
539,8.0
540,8.0
541,8.0
542,8.0
543,8.0
544,8.0
545,8.0
546,8.0
547,8.0
548,8.0
549,8.0
550,8.0
551,8.0
552,8.0
553,8.0
554,8.0
555,8.0
556,8.0
557,8.0
558,8.0
559,8.0
560,8.0
561,8.0
562,8.0
563,8.0
564,8.0
565,8.0
566,8.0
567,8.0
568,8.0
569,8.0
570,8.0
571,8.0
572,8.0
573,8.0
574,8.0
575,8.0
576,8.0
577,8.0
578,8.0
579,8.0
580,8.0
581,8.0
582,8.0
583,8.0
584,8.0
585,8.0
586,8.0
587,8.0
588,8.0
589,8.0
590,8.0
591,8.0
592,8.0
593,8.0
594,8.0
595,8.0
596,8.0
597,8.0
598,8.0
599,8.0
600,8.0
601,8.0
602,8.0
603,8.0
604,8.0
605,8.0
606,8.0
607,8.0
608,8.0
609,8.0
610,8.0
611,8.0
612,8.0
613,8.0
614,8.0
615,8.0
616,8.0
617,8.0
618,8.0
619,8.0
620,8.0
621,8.0
622,8.0
623,8.0
624,8.0
625,8.0
626,8.0
627,8.0
628,8.0
629,8.0
630,8.0
631,8.0
632,8.0
633,8.0
634,8.0
635,8.0
636,8.0
637,8.0
638,8.0
639,8.0
640,8.0
641,8.0
642,8.0
643,8.0
644,8.0
645,8.0
646,8.0
647,8.0
648,8.0
649,8.0
650,8.0
651,8.0
652,8.0
653,8.0
654,8.0
655,8.0
656,8.0
657,8.0
658,8.0
659,8.0
660,8.0
661,8.0
662,8.0
663,8.0
664,8.0
665,8.0
666,8.0
667,8.0
668,8.0
669,8.0
670,8.0
671,8.0
672,8.0
673,8.0
674,8.0
675,8.0
676,8.0
677,8.0
678,8.0
679,8.0
680,8.0
681,8.0
682,8.0
683,8.0
684,8.0
685,8.0
686,8.0
687,8.0
688,8.0
689,8.0
690,8.0
691,8.0
692,8.0
693,8.0
694,8.0
695,8.0
696,8.0
697,8.0
698,8.0
699,8.0
700,8.0
701,8.0
702,8.0
703,8.0
704,8.0
705,8.0
706,8.0
707,8.0
708,8.0
709,8.0
710,8.0
711,8.0
712,8.0
713,8.0
714,8.0
715,8.0
716,8.0
717,8.0
718,8.0
719,8.0
720,8.0
721,8.0
722,8.0
723,8.0
724,8.0
725,8.0
726,8.0
727,8.0
728,8.0
729,8.0
730,8.0
731,8.0
732,8.0
733,8.0
734,8.0
735,8.0
736,8.0
737,8.0
738,8.0
739,8.0
740,8.0
741,8.0
742,8.0
743,8.0
744,8.0
745,8.0
746,8.0
747,8.0
748,8.0
749,8.0
750,8.0
751,8.0
752,8.0
753,8.0
754,8.0
755,8.0
756,8.0
757,8.0
758,8.0
759,8.0
760,8.0
761,8.0
762,8.0
763,8.0
764,8.0
765,8.0
766,8.0
767,8.0
768,8.0
769,8.0
770,8.0
771,8.0
772,8.0
773,8.0
774,8.0
775,8.0
776,8.0
777,8.0
778,8.0
779,8.0
780,8.0
781,8.0
782,8.0
783,8.0
784,8.0
785,8.0
786,8.0
787,8.0
788,9.0
789,9.0
790,8.0
791,8.0
792,9.0
793,9.0
794,8.0
795,8.0
796,8.0
797,8.0
798,8.0
799,8.0
800,9.0
801,9.0
802,9.0
803,8.0
804,8.0
805,9.0
806,10.0
807,10.0
808,10.0
809,9.0
810,9.0
811,9.0
812,10.0
813,10.0
814,9.0
815,9.0
816,9.0
817,10.0
818,12.0
819,11.0
820,11.0
821,11.0
822,10.0
823,10.0
824,10.0
825,11.0
826,11.0
827,12.0
828,11.0
829,10.0
830,11.0
831,11.0
832,11.0
833,11.0
834,10.0
835,10.0
836,10.0
837,10.0
838,10.0
839,9.0
840,10.0
841,9.0
842,10.0
843,10.0
844,9.0
845,10.0
846,11.0
847,12.0
848,11.0
849,11.0
850,11.0
851,11.0
852,13.0
853,13.0
854,11.0
855,12.0
856,11.0
857,10.0
858,10.0
859,10.0
860,10.0
861,10.0
862,11.0
863,11.0
864,10.0
865,9.0
866,10.0
867,10.0
868,10.0
869,10.0
870,9.0
871,9.0
872,9.0
873,9.0
874,9.0
875,8.0
876,8.0
877,8.0
878,8.0
879,8.0
880,8.0
881,8.0
882,8.0
883,8.0
884,8.0
885,8.0
886,8.0
887,8.0
888,8.0
889,8.0
890,8.0
891,8.0
892,8.0
893,8.0
894,8.0
895,8.0
896,8.0
897,8.0
898,8.0
899,8.0
900,8.0
901,8.0
902,8.0
903,8.0
904,8.0
905,8.0
906,8.0
907,8.0
908,8.0
909,8.0
910,8.0
911,8.0
912,8.0
913,8.0
914,8.0
915,8.0
916,8.0
917,8.0
918,8.0
919,8.0
920,8.0
921,8.0
922,8.0
923,8.0
924,8.0
925,8.0
926,8.0
927,8.0
928,8.0
929,8.0
930,8.0
931,8.0
932,8.0
933,8.0
934,8.0
935,8.0
936,8.0
937,8.0
938,8.0
939,8.0
940,8.0
941,8.0
942,8.0
943,8.0
944,8.0
945,8.0
946,8.0
947,8.0
948,8.0
949,8.0
950,8.0
951,8.0
952,8.0
953,8.0
954,8.0
955,8.0
956,8.0
957,8.0
958,8.0
959,8.0
960,8.0
961,8.0
962,8.0
963,8.0
964,8.0
965,8.0
966,8.0
967,8.0
968,8.0
969,8.0
970,8.0
971,8.0
972,8.0
973,8.0
974,8.0
975,8.0
976,8.0
977,8.0
978,8.0
979,8.0
980,8.0
981,8.0
982,8.0
983,8.0
984,8.0
985,8.0
986,8.0
987,8.0
988,8.0
989,8.0
990,8.0
991,8.0
992,8.0
993,8.0
994,8.0
995,8.0
996,8.0
997,8.0
998,8.0
999,8.0
