,helicopter_theta,helicopter_psi
211,-0.46943999999999997,1.9532
212,-0.46863,1.9483
213,-0.46863,1.9483
214,-0.46661,1.9346
215,-0.47226999999999997,1.9613
216,-0.46701000000000004,1.9305
217,-0.47065,1.9491
218,-0.46821999999999997,1.9354
219,-0.46742,1.9435
220,-0.47106000000000003,1.9459
221,-0.47186999999999996,1.9409999999999998
222,-0.46742,1.9176
223,-0.46903,1.9248
224,-0.46742,1.9192
225,-0.46943999999999997,1.9151
226,-0.46943999999999997,1.9127
227,-0.46337,1.9127
228,-0.46458,1.9006
229,-0.46742,1.8957
230,-0.46903,1.9014
231,-0.46903,1.9014
232,-0.47146000000000005,1.9095
233,-0.46701000000000004,1.8933
234,-0.46418000000000004,1.8892
235,-0.46903,1.89
236,-0.46498999999999996,1.8738
237,-0.46256,1.8795
238,-0.46376999999999996,1.8682
239,-0.46742,1.8714
240,-0.46296000000000004,1.8706
241,-0.4747,1.8641
242,-0.47389,1.8698
243,-0.47631999999999997,1.869
244,-0.47146000000000005,1.8504
245,-0.47713,1.8722
246,-0.47268000000000004,1.8447
247,-0.47631999999999997,1.8568
248,-0.47834,1.8666
249,-0.47834,1.8666
250,-0.47713,1.8504
251,-0.47794,1.8528
252,-0.47146000000000005,1.8236
253,-0.47186999999999996,1.8285
254,-0.47186999999999996,1.8325
255,-0.47794,1.8261
256,-0.4743,1.8107
257,-0.47631999999999997,1.8123
258,-0.46984,1.7961
259,-0.47308,1.8075
260,-0.46943999999999997,1.8026
261,-0.47713,1.8123
262,-0.47915,1.8034
263,-0.47591999999999995,1.7945
264,-0.47348999999999997,1.7848
265,-0.47591999999999995,1.7896
266,-0.47065,1.7662
267,-0.46984,1.7702
268,-0.47753999999999996,1.7807
269,-0.47268000000000004,1.7556
270,-0.47834,1.7815
271,-0.47389,1.7637
272,-0.47268000000000004,1.7686
273,-0.47631999999999997,1.7678
274,-0.47146000000000005,1.7403
275,-0.46943999999999997,1.7524
276,-0.46943999999999997,1.7524
277,-0.47713,1.7556
278,-0.47226999999999997,1.7289
279,-0.47834,1.7564
280,-0.47551000000000004,1.7451
281,-0.47834,1.7564
282,-0.47551000000000004,1.733
283,-0.47146000000000005,1.7305
284,-0.47551000000000004,1.7241
285,-0.4743,1.7216
286,-0.47146000000000005,1.7022
287,-0.46943999999999997,1.7127
288,-0.47186999999999996,1.6941
289,-0.47551000000000004,1.7087
290,-0.47834,1.7152
291,-0.47591999999999995,1.7127
292,-0.47511000000000003,1.7046
293,-0.4743,1.6933
294,-0.4743,1.6933
295,-0.47551000000000004,1.699
296,-0.47389,1.6803
297,-0.47753999999999996,1.6957
298,-0.46943999999999997,1.6722
299,-0.47308,1.6739
300,-0.47389,1.6779
301,-0.46821999999999997,1.6666
302,-0.47186999999999996,1.6722
303,-0.47226999999999997,1.669
304,-0.46458,1.6561
305,-0.46458,1.6423
306,-0.46984,1.6496
307,-0.47268000000000004,1.6577
308,-0.46661,1.6358
309,-0.4658,1.6229
310,-0.46903,1.6342
311,-0.46296000000000004,1.6285
312,-0.46296000000000004,1.6285
313,-0.47106000000000003,1.6334
314,-0.46538999999999997,1.6083
315,-0.4658,1.6083
316,-0.46903,1.6229
317,-0.46337,1.6075
318,-0.46781999999999996,1.6107
319,-0.46215,1.6002
320,-0.46418000000000004,1.6059
321,-0.46458,1.6067
322,-0.46053,1.5872
323,-0.45932,1.5864
324,-0.45891000000000004,1.5686
325,-0.46296000000000004,1.5856
326,-0.45851000000000003,1.5557
327,-0.4577,1.55
328,-0.45365,1.5435
329,-0.45203000000000004,1.5362
330,-0.45688999999999996,1.5516
331,-0.45365,1.5346
332,-0.45527,1.5435
333,-0.45283999999999996,1.5354
334,-0.45082,1.5273
335,-0.45163000000000003,1.5225
336,-0.45041000000000003,1.5184
337,-0.45891000000000004,1.537
338,-0.4581,1.5346
339,-0.4581,1.5346
340,-0.46013000000000004,1.5322
341,-0.44838999999999996,1.5022
342,-0.44718,1.4941
343,-0.44758000000000003,1.4974
344,-0.44433999999999996,1.4941
345,-0.44758000000000003,1.4877
346,-0.45203000000000004,1.5087
347,-0.44596,1.4731
348,-0.45001,1.4941
349,-0.43867,1.465
350,-0.44758000000000003,1.4885
351,-0.44151,1.4658
352,-0.44798000000000004,1.4731
353,-0.44878999999999997,1.4593
354,-0.43382,1.4431
355,-0.4411,1.4634
356,-0.43867,1.4528
357,-0.43867,1.4528
358,-0.43503000000000003,1.4278
359,-0.4411,1.452
360,-0.43746,1.4286
361,-0.43503000000000003,1.4124
362,-0.43503000000000003,1.4221
363,-0.42855,1.4221
364,-0.42613,1.4075
365,-0.43543999999999994,1.4253
366,-0.42815,1.3929
367,-0.43422,1.4043
368,-0.42733999999999994,1.3881
369,-0.42936,1.3946
370,-0.43058,1.3969999999999998
371,-0.42248,1.3751
372,-0.41843,1.3597
373,-0.42005,1.3678
374,-0.42289,1.3727
375,-0.42289,1.3727
376,-0.41884,1.3516
377,-0.4241,1.3614
378,-0.41965,1.3557
379,-0.42451000000000005,1.3573
380,-0.41439,1.3330000000000002
381,-0.41923999999999995,1.3436
382,-0.4241,1.3492
383,-0.41276999999999997,1.3355
384,-0.41803,1.3508
385,-0.41196000000000005,1.3387
386,-0.41358,1.3322
387,-0.41358,1.3314
388,-0.41155,1.3209
389,-0.41803,1.3363
390,-0.41439,1.329
391,-0.41317,1.3193
392,-0.41073999999999994,1.3055
393,-0.40953,1.2998
394,-0.40953,1.3144
395,-0.40629,1.3128
396,-0.40386,1.3015
397,-0.41236000000000006,1.3159999999999998
398,-0.40143,1.2974
399,-0.40953,1.3185
400,-0.41196000000000005,1.3119999999999998
401,-0.41155,1.3071
402,-0.41155,1.3071
403,-0.40629,1.3023
404,-0.4075,1.3031
405,-0.4067,1.2925
406,-0.4071,1.2925
407,-0.40143,1.2901
408,-0.40224,1.2909
409,-0.40265,1.3047
410,-0.40467,1.3039
411,-0.3986,1.2699
412,-0.39616999999999997,1.2731
413,-0.39779000000000003,1.2885
414,-0.39738,1.2819999999999998
415,-0.38929,1.2602
416,-0.39293,1.2594
417,-0.39819,1.2691
418,-0.39536,1.2675
419,-0.39981,1.2626
420,-0.39981,1.2626
421,-0.3901,1.2424
422,-0.39211999999999997,1.2699
423,-0.39171999999999996,1.2561
424,-0.38524,1.2424
425,-0.39211999999999997,1.2594
426,-0.38322,1.2351
427,-0.38686,1.2375
428,-0.39171999999999996,1.2577
429,-0.38484,1.2302
430,-0.38727,1.2456
431,-0.38565,1.2577
432,-0.38766999999999996,1.2521
433,-0.38119000000000003,1.227
434,-0.37715,1.2213
435,-0.3816,1.2391
436,-0.37512,1.227
437,-0.37472,1.2254
438,-0.37472,1.2254
439,-0.37148000000000003,1.2229
440,-0.37917,1.2326
441,-0.3735,1.2189
442,-0.37674,1.2326
443,-0.38240999999999997,1.2359
444,-0.37998000000000004,1.2309999999999999
445,-0.37148000000000003,1.2189
446,-0.37106999999999996,1.2189
447,-0.36824,1.2213
448,-0.37674,1.2343
449,-0.36580999999999997,1.2181
450,-0.36743000000000003,1.2205
451,-0.3731,1.2343
452,-0.36945,1.2173
453,-0.36945,1.2156
454,-0.3646,1.21
455,-0.36905,1.2156
456,-0.365,1.21
457,-0.36662,1.2116
458,-0.36541,1.2051
459,-0.37431,1.2294
460,-0.37390999999999996,1.2309999999999999
461,-0.36905,1.2148
462,-0.3731,1.2343
463,-0.36985999999999997,1.2173
464,-0.3646,1.21
465,-0.3646,1.21
466,-0.36298,1.2067
467,-0.36298,1.2132
468,-0.36743000000000003,1.2326
469,-0.365,1.2254
470,-0.36541,1.227
471,-0.36783000000000005,1.2309999999999999
472,-0.35933000000000004,1.2067
473,-0.36541,1.2173
474,-0.36338000000000004,1.2189
475,-0.365,1.2164
476,-0.35974,1.2116
477,-0.36864,1.2286
478,-0.35893,1.21
479,-0.36257,1.2132
480,-0.36175999999999997,1.2124
481,-0.36864,1.2286
482,-0.36580999999999997,1.2173
483,-0.36580999999999997,1.2173
484,-0.35893,1.21
485,-0.35852,1.2092
486,-0.36298,1.2156
487,-0.36985999999999997,1.2213
488,-0.36175999999999997,1.2092
489,-0.36703,1.2334
490,-0.36136,1.2132
491,-0.36217,1.2116
492,-0.36743000000000003,1.2318
493,-0.36055,1.2116
494,-0.35893,1.2067
495,-0.36622,1.2302
496,-0.36824,1.2302
497,-0.36905,1.2278
498,-0.36095,1.2116
499,-0.36703,1.2189
500,-0.36662,1.2318
501,-0.36662,1.2318
502,-0.36783000000000005,1.2309999999999999
503,-0.35852,1.21
504,-0.36298,1.2148
505,-0.36985999999999997,1.2245
506,-0.36136,1.2075
507,-0.35407,1.2051
508,-0.36298,1.2278
509,-0.36136,1.2326
510,-0.36136,1.2318
511,-0.35407,1.2108
512,-0.36136,1.2189
513,-0.35326,1.2051
514,-0.35448,1.2059
515,-0.35205,1.21
516,-0.35771,1.2148
517,-0.36338000000000004,1.2262
518,-0.36298,1.2213
519,-0.35407,1.2035
520,-0.35691,1.2173
521,-0.35488000000000003,1.2124
522,-0.35529,1.2124
523,-0.36175999999999997,1.2309999999999999
524,-0.35731,1.2189
525,-0.35691,1.214
526,-0.36095,1.2334
527,-0.35326,1.2059
528,-0.35326,1.2059
529,-0.3561,1.214
530,-0.36379,1.2213
531,-0.35448,1.2043
532,-0.35205,1.2092
533,-0.35488000000000003,1.2067
534,-0.3646,1.2237
535,-0.35245,1.2092
536,-0.36298,1.2278
537,-0.36217,1.2302
538,-0.36338000000000004,1.2213
539,-0.3646,1.2237
540,-0.3565,1.2164
541,-0.35893,1.2254
542,-0.36217,1.2197
543,-0.36175999999999997,1.2309999999999999
544,-0.36055,1.2326
545,-0.35893,1.2173
546,-0.35893,1.2173
547,-0.35731,1.214
548,-0.36095,1.2318
549,-0.3561,1.21
550,-0.35286,1.2108
551,-0.3646,1.2237
552,-0.36217,1.2205
553,-0.35448,1.2051
554,-0.36379,1.2213
555,-0.35933000000000004,1.2164
556,-0.35893,1.2164
557,-0.36136,1.2205
558,-0.35569,1.2116
559,-0.36864,1.2286
560,-0.36014,1.2051
561,-0.36136,1.2092
562,-0.36905,1.227
563,-0.35852,1.2092
564,-0.35852,1.2092
565,-0.36217,1.2124
566,-0.36338000000000004,1.2156
567,-0.36095,1.2075
568,-0.36014,1.2116
569,-0.36136,1.21
570,-0.35933000000000004,1.21
571,-0.3646,1.2229
572,-0.36338000000000004,1.214
573,-0.37026,1.2221
574,-0.36985999999999997,1.2245
575,-0.36379,1.2189
576,-0.36783000000000005,1.2309999999999999
577,-0.36864,1.2221
578,-0.36783000000000005,1.2318
579,-0.36622,1.2286
580,-0.3646,1.2213
581,-0.36662,1.2326
582,-0.37026,1.2237
583,-0.36864,1.2197
584,-0.36824,1.2302
585,-0.37026,1.2237
586,-0.36541,1.2116
587,-0.3646,1.2084
588,-0.365,1.2108
589,-0.36824,1.2132
590,-0.37472,1.2197
591,-0.37472,1.2197
592,-0.3731,1.2326
593,-0.36541,1.2075
594,-0.36541,1.2059
595,-0.37634,1.2237
596,-0.36743000000000003,1.2059
597,-0.37067,1.2173
598,-0.3731,1.2326
599,-0.36824,1.2132
600,-0.37634,1.2237
601,-0.36541,1.2059
602,-0.37026,1.2197
603,-0.37026,1.2197
604,-0.37634,1.2237
605,-0.37512,1.2278
606,-0.36824,1.214
607,-0.36541,1.2059
608,-0.37390999999999996,1.2197
609,-0.37390999999999996,1.2197
610,-0.37553000000000003,1.227
611,-0.36662,1.2059
612,-0.37026,1.2116
613,-0.3731,1.2059
614,-0.37188000000000004,1.2051
615,-0.3735,1.2132
616,-0.37836,1.2309999999999999
617,-0.3731,1.2051
618,-0.3816,1.227
619,-0.37390999999999996,1.2092
620,-0.37106999999999996,1.2108
621,-0.37956999999999996,1.2326
622,-0.37634,1.2205
623,-0.37188000000000004,1.2059
624,-0.37106999999999996,1.2084
625,-0.37472,1.2132
626,-0.37553000000000003,1.2164
627,-0.37553000000000003,1.2164
628,-0.37593000000000004,1.2156
629,-0.37390999999999996,1.2132
630,-0.38281,1.2237
631,-0.38281,1.2229
632,-0.37188000000000004,1.2059
633,-0.37956999999999996,1.2326
634,-0.37431,1.21
635,-0.37917,1.2326
636,-0.37512,1.2156
637,-0.37634,1.2213
638,-0.37188000000000004,1.2059
639,-0.37106999999999996,1.2067
640,-0.3816,1.227
641,-0.37553000000000003,1.2164
642,-0.38240999999999997,1.2237
643,-0.37715,1.2254
644,-0.3731,1.2043
645,-0.37715,1.2245
646,-0.382,1.2245
647,-0.37148000000000003,1.2067
648,-0.382,1.2229
649,-0.3731,1.2051
650,-0.3816,1.2213
651,-0.37269,1.2059
652,-0.37229,1.2059
653,-0.37553000000000003,1.2156
654,-0.37553000000000003,1.2156
655,-0.38038,1.2294
656,-0.37956999999999996,1.2318
657,-0.37067,1.2084
658,-0.37067,1.21
659,-0.37269,1.2027
660,-0.3735,1.2067
661,-0.37755,1.2181
662,-0.38038,1.2294
663,-0.3816,1.2254
664,-0.37390999999999996,1.21
665,-0.37998000000000004,1.2318
666,-0.37836,1.2181
667,-0.37715,1.2229
668,-0.37512,1.2164
669,-0.3816,1.2229
670,-0.37188000000000004,1.2124
671,-0.37431,1.2108
672,-0.37431,1.2108
673,-0.37390999999999996,1.2092
674,-0.37876,1.2181
675,-0.38079,1.2302
676,-0.37188000000000004,1.2059
677,-0.37512,1.2148
678,-0.37512,1.2148
679,-0.38079,1.2213
680,-0.38119000000000003,1.2278
681,-0.37067,1.2092
682,-0.37148000000000003,1.2051
683,-0.38281,1.2237
684,-0.38119000000000003,1.2278
685,-0.38240999999999997,1.2229
686,-0.37755,1.2254
687,-0.37472,1.2124
688,-0.37715,1.227
689,-0.37998000000000004,1.2318
690,-0.37998000000000004,1.2318
691,-0.37431,1.2116
692,-0.37067,1.21
693,-0.37715,1.2237
694,-0.382,1.2254
695,-0.3735,1.2059
696,-0.37390999999999996,1.2092
697,-0.37512,1.214
698,-0.37188000000000004,1.2116
699,-0.38079,1.2205
700,-0.38038,1.2309999999999999
701,-0.37755,1.227
702,-0.37512,1.2148
703,-0.37876,1.2318
704,-0.3735,1.2124
705,-0.37269,1.2132
706,-0.37269,1.2302
707,-0.37067,1.2237
708,-0.37148000000000003,1.2254
709,-0.37472,1.2294
710,-0.3731,1.2197
711,-0.37472,1.2278
712,-0.37106999999999996,1.2237
713,-0.37553000000000003,1.2262
714,-0.3735,1.2326
715,-0.3735,1.2326
716,-0.36985999999999997,1.2197
717,-0.36985999999999997,1.2197
718,-0.37390999999999996,1.2197
719,-0.36783000000000005,1.2092
720,-0.37553000000000003,1.2262
721,-0.37148000000000003,1.2278
722,-0.36864,1.2148
723,-0.36985999999999997,1.2148
724,-0.36905,1.2148
725,-0.37188000000000004,1.2294
726,-0.37553000000000003,1.2262
727,-0.36662,1.2051
728,-0.3731,1.2181
729,-0.36945,1.2181
730,-0.37188000000000004,1.2173
731,-0.37634,1.2237
732,-0.36864,1.214
733,-0.3731,1.2334
734,-0.37026,1.2205
735,-0.37026,1.2205
736,-0.36662,1.2059
737,-0.37390999999999996,1.2318
738,-0.36945,1.2189
739,-0.37431,1.2309999999999999
740,-0.37634,1.2237
741,-0.37634,1.2221
742,-0.36743000000000003,1.2092
743,-0.36905,1.2156
744,-0.36824,1.214
745,-0.37269,1.2124
746,-0.37634,1.2156
747,-0.37956999999999996,1.2334
748,-0.37553000000000003,1.2148
749,-0.37876,1.2309999999999999
750,-0.37755,1.2254
751,-0.37472,1.2124
752,-0.38038,1.2294
753,-0.38038,1.2294
754,-0.37593000000000004,1.2189
755,-0.38240999999999997,1.2237
756,-0.37795,1.2116
757,-0.37795,1.2059
758,-0.37836,1.2035
759,-0.38806999999999997,1.2254
760,-0.38281,1.2229
761,-0.37998000000000004,1.2084
762,-0.38240999999999997,1.2132
763,-0.38686,1.2132
764,-0.39334,1.2213
765,-0.38240999999999997,1.21
766,-0.38361999999999996,1.2067
767,-0.39374000000000003,1.2213
768,-0.38727,1.2156
769,-0.39091,1.2035
770,-0.39334,1.214
771,-0.39171999999999996,1.2051
772,-0.39253000000000005,1.2108
773,-0.39293,1.2051
774,-0.3986,1.2124
775,-0.40062,1.2221
776,-0.39496,1.2108
777,-0.40021999999999996,1.2173
778,-0.41034,1.2205
779,-0.40871999999999997,1.2286
780,-0.40871999999999997,1.2286
781,-0.40346,1.2035
782,-0.40629,1.2173
783,-0.40467,1.2156
784,-0.41398,1.2221
785,-0.41358,1.2245
786,-0.41884,1.2181
787,-0.41762,1.214
788,-0.4237,1.2262
789,-0.41965,1.214
790,-0.42733999999999994,1.2334
791,-0.42936,1.2278
792,-0.42855,1.2294
793,-0.42733999999999994,1.2309999999999999
794,-0.42086,1.2075
795,-0.42855,1.2181
796,-0.43463,1.2286
797,-0.43098000000000003,1.2181
798,-0.43098000000000003,1.2181
799,-0.43098000000000003,1.2197
800,-0.43098000000000003,1.2213
801,-0.42815,1.214
802,-0.4326,1.2132
803,-0.43463,1.2148
804,-0.43988999999999995,1.2334
805,-0.43867,1.2254
806,-0.43422,1.2051
807,-0.43583999999999995,1.2132
808,-0.44191,1.2221
809,-0.44028999999999996,1.2043
810,-0.44677,1.2294
811,-0.44758000000000003,1.2278
812,-0.44151,1.2092
813,-0.44151,1.2092
814,-0.44677,1.2156
815,-0.44758000000000003,1.2108
816,-0.44758000000000003,1.2108
817,-0.4496,1.2205
818,-0.45243999999999995,1.2197
819,-0.44433999999999996,1.2108
820,-0.45082,1.2132
821,-0.45891000000000004,1.2302
822,-0.45365,1.21
823,-0.45688999999999996,1.2189
824,-0.46013000000000004,1.2254
825,-0.46538999999999997,1.2286
826,-0.46943999999999997,1.2309999999999999
827,-0.46781999999999996,1.2213
828,-0.47226999999999997,1.2213
829,-0.47268000000000004,1.2237
830,-0.47025,1.2051
831,-0.46863,1.2124
832,-0.47106000000000003,1.2043
833,-0.48158,1.2326
834,-0.47794,1.2067
835,-0.47551000000000004,1.2108
836,-0.48482,1.2164
837,-0.48968,1.2278
838,-0.48603999999999997,1.2197
839,-0.48685,1.2132
840,-0.48725,1.214
841,-0.49413,1.2302
842,-0.49332,1.2092
843,-0.49332,1.2092
844,-0.5010100000000001,1.2309999999999999
845,-0.5010100000000001,1.2309999999999999
846,-0.5022300000000001,1.2059
847,-0.50668,1.2326
848,-0.5058699999999999,1.2132
849,-0.51518,1.2181
850,-0.5172100000000001,1.2189
851,-0.5164,1.2084
852,-0.52247,1.2189
853,-0.52449,1.2334
854,-0.5220600000000001,1.2181
855,-0.5249,1.21
856,-0.5261100000000001,1.2059
857,-0.53056,1.2309999999999999
858,-0.52935,1.2108
859,-0.53178,1.2075
860,-0.53461,1.2205
861,-0.53461,1.2205
862,-0.53137,1.2148
863,-0.53664,1.2148
864,-0.53825,1.2051
865,-0.53866,1.2173
866,-0.54311,1.2084
867,-0.54837,1.2205
868,-0.54635,1.2148
869,-0.55566,1.2309999999999999
870,-0.55607,1.2278
871,-0.5552600000000001,1.2205
872,-0.5552600000000001,1.2148
873,-0.56011,1.2278
874,-0.56497,1.2286
875,-0.56457,1.214
876,-0.56214,1.2108
877,-0.5670000000000001,1.2343
878,-0.56416,1.2108
879,-0.56416,1.2108
880,-0.5706399999999999,1.2262
881,-0.57023,1.21
882,-0.57145,1.2189
883,-0.57631,1.2173
884,-0.5767100000000001,1.2116
885,-0.5767100000000001,1.2189
886,-0.57833,1.2262
887,-0.57792,1.2237
888,-0.58197,1.2051
889,-0.5844,1.2262
890,-0.58683,1.2229
891,-0.57995,1.2148
892,-0.58562,1.2116
893,-0.58643,1.2116
894,-0.58804,1.2043
895,-0.58724,1.2084
896,-0.5896600000000001,1.2189
897,-0.59614,1.2189
898,-0.5985699999999999,1.2051
899,-0.60424,1.227
900,-0.60019,1.2075
901,-0.60221,1.2254
902,-0.59897,1.214
903,-0.59897,1.2132
904,-0.6090899999999999,1.2309999999999999
905,-0.60707,1.2108
906,-0.60707,1.2108
907,-0.60828,1.2245
908,-0.6095,1.2294
909,-0.60828,1.2197
910,-0.60707,1.2092
911,-0.6090899999999999,1.2309999999999999
912,-0.61031,1.2059
913,-0.61395,1.2197
914,-0.6147600000000001,1.2286
915,-0.61314,1.2084
916,-0.61638,1.2302
917,-0.61436,1.227
918,-0.61598,1.2302
919,-0.61355,1.2124
920,-0.6107100000000001,1.214
921,-0.6107100000000001,1.2148
922,-0.61193,1.2067
923,-0.61355,1.2156
924,-0.61355,1.2156
925,-0.61598,1.2302
926,-0.61557,1.2309999999999999
927,-0.61274,1.2181
928,-0.62205,1.2286
929,-0.62205,1.2229
930,-0.6188100000000001,1.2189
931,-0.62164,1.2318
932,-0.62124,1.2334
933,-0.61679,1.2173
934,-0.61719,1.214
935,-0.6188100000000001,1.2043
936,-0.6176,1.2116
937,-0.62043,1.2245
938,-0.62002,1.2189
939,-0.62164,1.2213
940,-0.62124,1.2309999999999999
941,-0.62002,1.2197
942,-0.62002,1.2197
943,-0.61719,1.214
944,-0.6184,1.2075
945,-0.62083,1.2302
946,-0.6188100000000001,1.2035
947,-0.6176,1.2116
948,-0.62124,1.2318
949,-0.62164,1.2302
950,-0.62002,1.2173
951,-0.62002,1.2197
952,-0.62245,1.2245
953,-0.61517,1.2059
954,-0.61355,1.2116
955,-0.61557,1.2318
956,-0.6147600000000001,1.2278
957,-0.61557,1.2309999999999999
958,-0.6147600000000001,1.2343
959,-0.61152,1.2124
960,-0.61517,1.2302
961,-0.61193,1.2075
962,-0.61274,1.2043
963,-0.61152,1.2124
964,-0.61355,1.2132
965,-0.61274,1.2059
966,-0.6090899999999999,1.2262
967,-0.60505,1.214
968,-0.6099,1.2262
969,-0.6099,1.2262
970,-0.60545,1.2116
971,-0.6107100000000001,1.2237
972,-0.60788,1.2173
973,-0.61031,1.227
974,-0.6090899999999999,1.2343
975,-0.6058600000000001,1.2092
976,-0.6018100000000001,1.2181
