,traffic-nj511-minutes-i-278_from_the_nj_turnpike_to_the_west_shore_expressway
180,3.0
181,3.0
182,3.0
183,3.0
184,3.0
185,3.0
186,3.0
187,3.0
188,3.0
189,3.0
190,3.0
191,3.0
192,3.0
193,3.0
194,3.0
195,3.0
196,3.0
197,3.0
198,3.0
199,3.0
200,3.0
201,3.0
202,3.0
203,3.0
204,3.0
205,3.0
206,3.0
207,3.0
208,3.0
209,3.0
210,3.0
211,3.0
212,3.0
213,3.0
214,3.0
215,3.0
216,3.0
217,3.0
218,3.0
219,3.0
220,3.0
221,3.0
222,3.0
223,3.0
224,3.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,3.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
239,3.0
240,3.0
241,3.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,3.0
248,3.0
249,3.0
250,3.0
251,3.0
252,3.0
253,3.0
254,3.0
255,3.0
256,3.0
257,3.0
258,3.0
259,3.0
260,3.0
261,3.0
262,3.0
263,3.0
264,3.0
265,3.0
266,3.0
267,3.0
268,3.0
269,3.0
270,3.0
271,3.0
272,3.0
273,4.0
274,4.0
275,4.0
276,5.0
277,5.0
278,5.0
279,5.0
280,4.0
281,4.0
282,4.0
283,4.0
284,4.0
285,4.0
286,4.0
287,4.0
288,4.0
289,4.0
290,4.0
291,3.0
292,3.0
293,3.0
294,3.0
295,3.0
296,3.0
297,3.0
298,3.0
299,3.0
300,3.0
301,3.0
302,3.0
303,3.0
304,3.0
305,3.0
306,3.0
307,3.0
308,3.0
309,3.0
310,3.0
311,3.0
312,3.0
313,3.0
314,3.0
315,3.0
316,3.0
317,3.0
318,3.0
319,3.0
320,3.0
321,3.0
322,3.0
323,3.0
324,3.0
325,3.0
326,3.0
327,3.0
328,3.0
329,3.0
330,4.0
331,4.0
332,4.0
333,4.0
334,4.0
335,4.0
336,4.0
337,4.0
338,4.0
339,4.0
340,4.0
341,4.0
342,4.0
343,4.0
344,4.0
345,4.0
346,4.0
347,4.0
348,4.0
349,4.0
350,4.0
351,4.0
352,4.0
353,4.0
354,4.0
355,4.0
356,5.0
357,4.0
358,4.0
359,5.0
360,4.0
361,5.0
362,5.0
363,5.0
364,5.0
365,5.0
366,5.0
367,4.0
368,4.0
369,4.0
370,4.0
371,4.0
372,4.0
373,4.0
374,4.0
375,4.0
376,4.0
377,3.0
378,3.0
379,3.0
380,3.0
381,4.0
382,4.0
383,4.0
384,4.0
385,4.0
386,4.0
387,4.0
388,4.0
389,4.0
390,5.0
391,5.0
392,4.0
393,4.0
394,4.0
395,4.0
396,4.0
397,4.0
398,4.0
399,4.0
400,3.0
401,3.0
402,3.0
403,3.0
404,3.0
405,4.0
406,3.0
407,3.0
408,3.0
409,3.0
410,3.0
411,3.0
412,3.0
413,3.0
414,3.0
415,3.0
416,3.0
417,3.0
418,3.0
419,3.0
420,3.0
421,3.0
422,3.0
423,3.0
424,4.0
425,4.0
426,4.0
427,4.0
428,4.0
429,4.0
430,4.0
431,4.0
432,4.0
433,4.0
434,4.0
435,4.0
436,4.0
437,4.0
438,4.0
439,4.0
440,4.0
441,4.0
442,4.0
443,4.0
444,5.0
445,5.0
446,5.0
447,5.0
448,5.0
449,4.0
450,4.0
451,4.0
452,4.0
453,5.0
454,4.0
455,4.0
456,4.0
457,4.0
458,4.0
459,3.0
460,3.0
461,3.0
462,3.0
463,3.0
464,3.0
465,3.0
466,3.0
467,4.0
468,4.0
469,4.0
470,5.0
471,5.0
472,4.0
473,5.0
474,4.0
475,5.0
476,5.0
477,4.0
478,4.0
479,4.0
480,4.0
481,4.0
482,4.0
483,3.0
484,3.0
485,4.0
486,3.0
487,3.0
488,3.0
489,3.0
490,3.0
491,3.0
492,3.0
493,3.0
494,3.0
495,3.0
496,3.0
497,3.0
498,3.0
499,3.0
500,4.0
501,4.0
502,3.0
503,3.0
504,3.0
505,3.0
506,3.0
507,3.0
508,3.0
509,3.0
510,3.0
511,3.0
512,4.0
513,4.0
514,4.0
515,4.0
516,4.0
517,4.0
518,5.0
519,5.0
520,5.0
521,4.0
522,4.0
523,4.0
524,4.0
525,4.0
526,4.0
527,4.0
528,4.0
529,4.0
530,4.0
531,4.0
532,4.0
533,4.0
534,4.0
535,4.0
536,3.0
537,3.0
538,3.0
539,3.0
540,3.0
541,3.0
542,3.0
543,3.0
544,3.0
545,3.0
546,3.0
547,3.0
548,3.0
549,3.0
550,3.0
551,3.0
552,3.0
553,3.0
554,3.0
555,3.0
556,3.0
557,3.0
558,3.0
559,3.0
560,3.0
561,3.0
562,3.0
563,3.0
564,3.0
565,3.0
566,3.0
567,3.0
568,3.0
569,3.0
570,3.0
571,3.0
572,3.0
573,3.0
574,3.0
575,3.0
576,3.0
577,3.0
578,3.0
579,3.0
580,3.0
581,3.0
582,3.0
583,3.0
584,3.0
585,3.0
586,3.0
587,3.0
588,3.0
589,3.0
590,3.0
591,3.0
592,3.0
593,3.0
594,3.0
595,3.0
596,3.0
597,3.0
598,3.0
599,3.0
600,3.0
601,3.0
602,3.0
603,3.0
604,3.0
605,3.0
606,3.0
607,3.0
608,3.0
609,3.0
610,3.0
611,3.0
612,3.0
613,3.0
614,3.0
615,3.0
616,3.0
617,3.0
618,3.0
619,4.0
620,3.0
621,3.0
622,3.0
623,3.0
624,3.0
625,4.0
626,3.0
627,3.0
628,3.0
629,3.0
630,3.0
631,3.0
632,3.0
633,3.0
634,3.0
635,3.0
636,3.0
637,3.0
638,3.0
639,3.0
640,3.0
641,3.0
642,3.0
643,3.0
644,3.0
645,3.0
646,3.0
647,3.0
648,3.0
649,3.0
650,3.0
651,3.0
652,3.0
653,3.0
654,3.0
655,3.0
656,3.0
657,3.0
658,3.0
659,3.0
660,3.0
661,4.0
662,4.0
663,3.0
664,4.0
665,4.0
666,3.0
667,3.0
668,3.0
669,3.0
670,3.0
671,3.0
672,3.0
673,3.0
674,3.0
675,3.0
676,3.0
677,3.0
678,3.0
679,3.0
680,3.0
681,3.0
682,3.0
683,3.0
684,3.0
685,3.0
686,3.0
687,3.0
688,3.0
689,3.0
690,3.0
691,3.0
692,3.0
693,3.0
694,3.0
695,3.0
696,3.0
697,3.0
698,3.0
699,3.0
700,3.0
701,3.0
702,3.0
703,3.0
704,3.0
705,3.0
706,3.0
707,3.0
708,3.0
709,3.0
710,3.0
711,3.0
712,3.0
713,3.0
714,3.0
715,3.0
716,3.0
717,3.0
718,3.0
719,3.0
720,3.0
721,3.0
722,3.0
723,3.0
724,3.0
725,3.0
726,3.0
727,3.0
728,3.0
729,3.0
730,3.0
731,3.0
732,3.0
733,3.0
734,3.0
735,3.0
736,3.0
737,3.0
738,3.0
739,3.0
740,3.0
741,3.0
742,3.0
743,3.0
744,3.0
745,3.0
746,3.0
747,3.0
748,3.0
749,3.0
750,3.0
751,3.0
752,3.0
753,3.0
754,3.0
755,3.0
756,3.0
757,3.0
758,3.0
759,3.0
760,3.0
761,3.0
762,3.0
763,3.0
764,3.0
765,3.0
766,3.0
767,3.0
768,3.0
769,3.0
770,3.0
771,3.0
772,3.0
773,3.0
774,3.0
775,3.0
776,3.0
777,3.0
778,3.0
779,3.0
780,3.0
781,3.0
782,3.0
783,3.0
784,3.0
785,3.0
786,3.0
787,3.0
788,3.0
789,3.0
790,3.0
791,3.0
792,3.0
793,3.0
794,3.0
795,3.0
796,3.0
797,3.0
798,3.0
799,3.0
800,3.0
801,3.0
802,3.0
803,3.0
804,3.0
805,3.0
806,3.0
807,4.0
808,4.0
809,4.0
810,4.0
811,5.0
812,5.0
813,6.0
814,7.0
815,7.0
816,7.0
817,8.0
818,9.0
819,10.0
820,10.0
821,10.0
822,9.0
823,9.0
824,8.0
825,7.0
826,7.0
827,6.0
828,5.0
829,4.0
830,4.0
831,4.0
832,4.0
833,4.0
834,4.0
835,4.0
836,4.0
837,5.0
838,6.0
839,6.0
840,7.0
841,8.0
842,8.0
843,7.0
844,7.0
845,7.0
846,6.0
847,5.0
848,5.0
849,5.0
850,4.0
851,4.0
852,4.0
853,4.0
854,4.0
855,4.0
856,4.0
857,5.0
858,5.0
859,5.0
860,5.0
861,5.0
862,6.0
863,6.0
864,5.0
865,6.0
866,7.0
867,8.0
868,8.0
869,9.0
870,10.0
871,11.0
872,11.0
873,12.0
874,11.0
875,13.0
876,11.0
877,11.0
878,10.0
879,10.0
880,9.0
881,8.0
882,7.0
883,7.0
884,7.0
885,6.0
886,7.0
887,8.0
888,7.0
889,8.0
890,9.0
891,9.0
892,10.0
893,11.0
894,12.0
895,12.0
896,12.0
897,14.0
898,16.0
899,15.0
900,14.0
901,16.0
902,20.0
903,20.0
904,18.0
905,23.0
906,18.0
907,15.0
908,15.0
909,14.0
910,20.0
911,21.0
912,24.0
913,18.0
914,18.0
915,16.0
916,19.0
917,17.0
918,16.0
919,16.0
920,17.0
921,19.0
922,22.0
923,18.0
924,18.0
925,18.0
926,20.0
927,20.0
928,21.0
929,20.0
930,20.0
931,21.0
932,20.0
933,19.0
934,21.0
935,19.0
936,21.0
937,22.0
938,23.0
939,19.0
940,20.0
941,21.0
942,22.0
943,22.0
944,22.0
945,22.0
946,24.0
947,21.0
948,24.0
949,22.0
950,22.0
951,18.0
952,16.0
953,17.0
954,17.0
955,19.0
956,19.0
957,18.0
958,18.0
959,16.0
960,17.0
961,15.0
962,15.0
963,12.0
964,11.0
965,13.0
966,12.0
967,11.0
968,10.0
969,9.0
970,10.0
971,10.0
972,10.0
973,10.0
974,12.0
975,11.0
976,12.0
977,13.0
978,12.0
979,13.0
980,13.0
981,13.0
982,13.0
983,14.0
984,14.0
985,12.0
986,13.0
987,12.0
988,11.0
989,12.0
990,11.0
991,10.0
992,9.0
993,9.0
994,9.0
995,9.0
996,10.0
997,10.0
998,11.0
999,13.0
